feature,importance
num__rule_flag_count,0.334105781270317
num__embedded_emissions_tco2e_per_tonne,0.13875256258445684
num__document_consistency_score,0.12668787215444802
cat__declared_origin_country_None,0.11186582726852597
num__traceability_completeness_score,0.04343832110603045
num__supplier_chain_depth,0.04091725957011294
bin__origin_certificate_available,0.032159788043851785
num__recycled_content_percent,0.01616381986831571
num__shipment_value_usd,0.016014703668527825
num__shipment_quantity,0.01501195938141607
num__origin_certificate_match_score,0.01070788942554637
cat__country_of_last_substantial_transformation_ZA,0.007859582207347544
cat__country_of_last_substantial_transformation_CN,0.006960790420369923
cat__country_of_last_substantial_transformation_DE,0.0061471965577314085
num__supporting_document_count,0.00599246013960192
cat__country_of_last_substantial_transformation_NO,0.005192512685155225
cat__country_of_last_substantial_transformation_BR,0.004424949715014261
cat__product_family_aluminium_ingot,0.004207451538059457
cat__declared_origin_country_ZA,0.004006766196268395
cat__country_of_last_substantial_transformation_SE,0.0035493398360014446
cat__declared_origin_country_BR,0.0032805036149478137
cat__product_family_aluminium_profile,0.0032650428792214982
cat__country_of_last_substantial_transformation_CA,0.0032291527981567637
cat__country_of_last_substantial_transformation_NL,0.0031031492154356918
cat__country_of_last_substantial_transformation_TR,0.0029993129266055016
cat__declared_origin_country_DE,0.0027406359451261986
cat__country_of_last_substantial_transformation_IN,0.002715745279993772
cat__country_of_last_substantial_transformation_AE,0.0025605458474916446
cat__declared_origin_country_TR,0.002375873082486294
cat__declared_origin_country_CN,0.0023608394418421696
cat__product_family_aluminium_sheet,0.0023404780832545326
cat__declared_origin_country_IN,0.002321009321155011
cat__declared_origin_country_CA,0.002311557663974111
cat__declared_origin_country_AE,0.002284121570290511
cat__product_family_aluminium_coil,0.0022278831535520872
cat__declared_origin_country_SE,0.0020071565955005854
cat__declared_origin_country_NL,0.00200274081936105
cat__country_of_last_substantial_transformation_FR,0.0019312434921138649
cat__declared_origin_country_FR,0.0017644040854470054
cat__declared_origin_country_NO,0.0017254383242932625
cat__country_of_export_BR,0.0016460885327062415
cat__country_of_export_IN,0.0015783556429499793
cat__country_of_export_NL,0.001541334095839381
cat__country_of_export_AE,0.0014661886289829827
cat__country_of_export_DE,0.0014126388012029795
cat__country_of_export_SE,0.0014053151778080464
cat__country_of_export_ZA,0.0012956164596632617
cat__country_of_export_CN,0.001261351336598446
cat__country_of_export_NO,0.0012298862468070493
cat__country_of_export_FR,0.0011870654866265862
cat__country_of_export_CA,0.0011831599059449055
cat__country_of_export_TR,0.0010793319075222052
cat__destination_market_EU,0.0
cat__production_method_tag_mixed,0.0
cat__electricity_source_tag_mixed,0.0
cat__emissions_estimation_method_estimated,0.0
cat__transport_mode_sea,0.0
cat__incoterm_FOB,0.0
bin__supplier_traceability_metadata_available,0.0
bin__batch_lot_reference_available,0.0
bin__production_site_identifier_available,0.0
bin__plant_emissions_disclosure_available,0.0
